Mo, 13 Jul 2020 17:34:13 +0000  QA_rec 1 0 1 0
Mo, 13 Jul 2020 17:39:07 +0000  Run-0, Block-1, Trial-13, Q_cnt-38, Q_sen-Früher haben in Europa und Asien Neandertaler gelebt., Q_cen-gelebt
Mo, 13 Jul 2020 17:39:08 +0000  QA_rec 1 0 1 14
Mo, 13 Jul 2020 17:39:28 +0000  QA_rec 0 0 1 14
Mo, 13 Jul 2020 17:39:28 +0000  Run-0, Block-1, Trial-14, Q_cnt-39, Q_sen-In Österreich gibt es eine richtige Kaffeehauskultur., Q_cen-gibt
Mo, 13 Jul 2020 17:39:29 +0000  QA_rec 1 0 1 15
Mo, 13 Jul 2020 17:39:49 +0000  QA_rec 0 0 1 15
Mo, 13 Jul 2020 17:39:49 +0000  Run-0, Block-1, Trial-15, Q_cnt-40, Q_sen-In Neuseeland und Irland ist es so grün, weil es besonders oft regnet., Q_cen-regnet
Mo, 13 Jul 2020 17:39:50 +0000  QA_rec 1 0 1 16
Mo, 13 Jul 2020 17:40:10 +0000  QA_rec 0 0 1 16
Mo, 13 Jul 2020 17:40:10 +0000  Run-0, Block-1, Trial-16, Q_cnt-41, Q_sen-Ich empfehle Ihnen unbedingt die traditionale Speise., Q_cen-empfehle
Mo, 13 Jul 2020 17:40:11 +0000  QA_rec 1 0 1 17
Mo, 13 Jul 2020 17:40:31 +0000  QA_rec 0 0 1 17
Mo, 13 Jul 2020 17:40:31 +0000  Run-0, Block-1, Trial-17, Q_cnt-42, Q_sen-Weil er so hungrig war, hat Franz einmal einen Apfel gestohlen., Q_cen-gestohlen
Mo, 13 Jul 2020 17:40:32 +0000  QA_rec 1 0 1 18
Mo, 13 Jul 2020 17:40:52 +0000  QA_rec 0 0 1 18
Mo, 13 Jul 2020 17:40:52 +0000  Run-0, Block-1, Trial-18, Q_cnt-43, Q_sen-Die Tulpen stammen eigentlich aus Persien und der Türkei., Q_cen-stammen
Mo, 13 Jul 2020 17:40:53 +0000  QA_rec 1 0 1 19
Mo, 13 Jul 2020 17:41:13 +0000  QA_rec 0 0 1 19
Mo, 13 Jul 2020 17:41:13 +0000  Run-0, Block-1, Trial-19, Q_cnt-44, Q_sen-Wenn es kalt wird, muss ich einen warmen Pullover tragen., Q_cen-tragen
Mo, 13 Jul 2020 17:41:14 +0000  QA_rec 1 0 1 20
Mo, 13 Jul 2020 17:41:34 +0000  QA_rec 0 0 1 20
Mo, 13 Jul 2020 17:41:34 +0000  Run-0, Block-1, Trial-20, Q_cnt-45, Q_sen-Als das Spiel unentschieden endete, wurde es um zweimal 15 Minuten verlängert., Q_cen-endete
Mo, 13 Jul 2020 17:41:35 +0000  QA_rec 1 0 1 21
Mo, 13 Jul 2020 17:41:55 +0000  QA_rec 0 0 1 21
Mo, 13 Jul 2020 17:41:55 +0000  Run-0, Block-1, Trial-21, Q_cnt-46, Q_sen-Ich kann dir gerne mein Fahrrad leihen, wenn du möchtest., Q_cen-leihen
Mo, 13 Jul 2020 17:41:56 +0000  QA_rec 1 0 1 22
Mo, 13 Jul 2020 17:42:17 +0000  QA_rec 0 0 1 22
Mo, 13 Jul 2020 17:42:17 +0000  Run-0, Block-1, Trial-22, Q_cnt-47, Q_sen-Der Präsident diskutierte das Thema auf der Pressekonferenz nicht., Q_cen-diskutierte
Mo, 13 Jul 2020 17:42:18 +0000  QA_rec 1 0 1 23
Mo, 13 Jul 2020 17:42:38 +0000  QA_rec 0 0 1 23
Mo, 13 Jul 2020 17:42:38 +0000  Run-0, Block-1, Trial-23, Q_cnt-48, Q_sen-Lisa tanzt im Ballett., Q_cen-tanzt
Mo, 13 Jul 2020 17:42:39 +0000  QA_rec 1 0 1 24
Mo, 13 Jul 2020 17:42:59 +0000  QA_rec 0 0 1 24
Mo, 13 Jul 2020 17:42:59 +0000  Run-0, Block-1, Trial-24, Q_cnt-49, Q_sen-Ich bin krank und bleibe heute im Bett., Q_cen-bleibe
