So, 26 Jul 2020 16:56:28 +0000  QA_intro 1 0 None None
So, 26 Jul 2020 17:02:26 +0000  QA_rec 1 0 1 15
So, 26 Jul 2020 17:02:46 +0000  QA_rec 0 0 1 15
So, 26 Jul 2020 17:02:46 +0000  Run-0, Block-1, Trial-15, Q_cnt-40, Q_sen-Du musst die Verantwortung für deine Taten übernehmen., Q_cen-übernehmen
So, 26 Jul 2020 17:02:47 +0000  QA_rec 1 0 1 16
So, 26 Jul 2020 17:03:07 +0000  QA_rec 0 0 1 16
So, 26 Jul 2020 17:03:07 +0000  Run-0, Block-1, Trial-16, Q_cnt-41, Q_sen-Das verstehe ich nicht, was meinst du damit?, Q_cen-meinst
So, 26 Jul 2020 17:03:08 +0000  QA_rec 1 0 1 17
So, 26 Jul 2020 17:03:28 +0000  QA_rec 0 0 1 17
So, 26 Jul 2020 17:03:28 +0000  Run-0, Block-1, Trial-17, Q_cnt-42, Q_sen-Josi hat letzte Nacht nur wenig Schlaf gefunden., Q_cen-gefunden
So, 26 Jul 2020 17:03:29 +0000  QA_rec 1 0 1 18
So, 26 Jul 2020 17:03:49 +0000  QA_rec 0 0 1 18
So, 26 Jul 2020 17:03:49 +0000  Run-0, Block-1, Trial-18, Q_cnt-43, Q_sen-Mutters Einkäufe sind so schwer, deshalb bittet sie Jon, die Tasche zu tragen., Q_cen-tragen
So, 26 Jul 2020 17:03:50 +0000  QA_rec 1 0 1 19
So, 26 Jul 2020 17:04:11 +0000  QA_rec 0 0 1 19
So, 26 Jul 2020 17:04:11 +0000  Run-0, Block-1, Trial-19, Q_cnt-44, Q_sen-Auf einer CD sind der Musik oder gesprochener Text gespeichert., Q_cen-gespeichert
So, 26 Jul 2020 17:04:12 +0000  QA_rec 1 0 1 20
So, 26 Jul 2020 17:04:32 +0000  QA_rec 0 0 1 20
So, 26 Jul 2020 17:04:32 +0000  Run-0, Block-1, Trial-20, Q_cnt-45, Q_sen-Ich gratuliere dir zum Bestehen dieser schwierigen Prüfung., Q_cen-gratuliere
So, 26 Jul 2020 17:04:33 +0000  QA_rec 1 0 1 21
So, 26 Jul 2020 17:04:53 +0000  QA_rec 0 0 1 21
So, 26 Jul 2020 17:04:53 +0000  Run-0, Block-1, Trial-21, Q_cnt-46, Q_sen-Sie besichtigen die Sehenswürdigkeiten., Q_cen-besichtigen
So, 26 Jul 2020 17:04:54 +0000  QA_rec 1 0 1 22
So, 26 Jul 2020 17:05:14 +0000  QA_rec 0 0 1 22
So, 26 Jul 2020 17:05:14 +0000  Run-0, Block-1, Trial-22, Q_cnt-47, Q_sen-Solange es regnet, bleiben wir hier., Q_cen-bleiben
So, 26 Jul 2020 17:05:15 +0000  QA_rec 1 0 1 23
So, 26 Jul 2020 17:05:35 +0000  QA_rec 0 0 1 23
So, 26 Jul 2020 17:05:35 +0000  Run-0, Block-1, Trial-23, Q_cnt-48, Q_sen-Ich habe mich bei einem Kurs angemeldet, um Deutsch zu lernen., Q_cen-angemeldet
So, 26 Jul 2020 17:05:36 +0000  QA_rec 1 0 1 24
So, 26 Jul 2020 17:05:56 +0000  QA_rec 0 0 1 24
So, 26 Jul 2020 17:05:56 +0000  Run-0, Block-1, Trial-24, Q_cnt-49, Q_sen-Persönliche Daten sollen geheim bleiben., Q_cen-bleiben
