Fr, 03 Jul 2020 14:40:01 +0000  fade_in 1 3 None None
Fr, 03 Jul 2020 14:52:53 +0000  QA_rec 1 3 0 17
Fr, 03 Jul 2020 14:53:13 +0000  QA_rec 0 3 0 17
Fr, 03 Jul 2020 14:53:13 +0000  Run-3, Block-0, Trial-17, Q_cnt-167, Q_sen-Die Absolventen feiern ihren erfolgreichen Abschluss an der Universität., Q_cen-feiern
Fr, 03 Jul 2020 14:53:14 +0000  QA_rec 1 3 0 18
Fr, 03 Jul 2020 14:53:34 +0000  QA_rec 0 3 0 18
Fr, 03 Jul 2020 14:53:34 +0000  Run-3, Block-0, Trial-18, Q_cnt-168, Q_sen-Im botanischen Garten kann mann wir exotische Pflanzen sehen., Q_cen-sehen
Fr, 03 Jul 2020 14:53:35 +0000  QA_rec 1 3 0 19
Fr, 03 Jul 2020 14:53:55 +0000  QA_rec 0 3 0 19
Fr, 03 Jul 2020 14:53:55 +0000  Run-3, Block-0, Trial-19, Q_cnt-169, Q_sen-Entschuldigung, können Sie mir ein Taxi rufen?, Q_cen-rufen
Fr, 03 Jul 2020 14:53:56 +0000  QA_rec 1 3 0 20
Fr, 03 Jul 2020 14:54:16 +0000  QA_rec 0 3 0 20
Fr, 03 Jul 2020 14:54:16 +0000  Run-3, Block-0, Trial-20, Q_cnt-170, Q_sen-Mit der Benzin wird der Motor des Autos angetrieben., Q_cen-angetrieben
Fr, 03 Jul 2020 14:54:17 +0000  QA_rec 1 3 0 21
Fr, 03 Jul 2020 14:54:37 +0000  QA_rec 0 3 0 21
Fr, 03 Jul 2020 14:54:37 +0000  Run-3, Block-0, Trial-21, Q_cnt-171, Q_sen-Bewegung und gesunde Ernährung gehören zu einer gesunden Lebensweise., Q_cen-gehören
Fr, 03 Jul 2020 14:54:38 +0000  QA_rec 1 3 0 22
Fr, 03 Jul 2020 14:54:58 +0000  QA_rec 0 3 0 22
Fr, 03 Jul 2020 14:54:58 +0000  Run-3, Block-0, Trial-22, Q_cnt-172, Q_sen-Das sind Wörter, die vor allem junge Leute benutzen., Q_cen-benutzen
Fr, 03 Jul 2020 14:54:59 +0000  QA_rec 1 3 0 23
Fr, 03 Jul 2020 14:55:19 +0000  QA_rec 0 3 0 23
Fr, 03 Jul 2020 14:55:19 +0000  Run-3, Block-0, Trial-23, Q_cnt-173, Q_sen-Ich muss den Anzug vor der Geschäftsreise in den Koffer einpacken., Q_cen-einpacken
Fr, 03 Jul 2020 14:55:20 +0000  QA_rec 1 3 0 24
Fr, 03 Jul 2020 14:55:40 +0000  QA_rec 0 3 0 24
Fr, 03 Jul 2020 14:55:40 +0000  Run-3, Block-0, Trial-24, Q_cnt-174, Q_sen-Ich warte seit drei Tagen auf Sie, wo waren Sie denn?, Q_cen-warte
Fr, 03 Jul 2020 14:55:56 +0000  QA_rec 1 3 1 0
Fr, 03 Jul 2020 14:56:16 +0000  QA_rec 0 3 1 0
Fr, 03 Jul 2020 14:56:16 +0000  Run-3, Block-1, Trial-0, Q_cnt-175, Q_sen-Können Sie fünfzig Euro wechseln?, Q_cen-wechseln
Fr, 03 Jul 2020 14:56:17 +0000  QA_rec 1 3 1 1
Fr, 03 Jul 2020 14:56:37 +0000  QA_rec 0 3 1 1
Fr, 03 Jul 2020 14:56:37 +0000  Run-3, Block-1, Trial-1, Q_cnt-176, Q_sen-Ich habe mir ein neues Ziel gesetzt, das ich erreichen möchte., Q_cen-erreichen
Fr, 03 Jul 2020 14:56:38 +0000  QA_rec 1 3 1 2
Fr, 03 Jul 2020 14:56:58 +0000  QA_rec 0 3 1 2
Fr, 03 Jul 2020 14:56:58 +0000  Run-3, Block-1, Trial-2, Q_cnt-177, Q_sen-Wir haben während des Urlaubs ein gemütliches Zimmer in Meeresnähe gemietet., Q_cen-gemietet
Fr, 03 Jul 2020 14:56:59 +0000  QA_rec 1 3 1 3
Fr, 03 Jul 2020 14:57:19 +0000  QA_rec 0 3 1 3
Fr, 03 Jul 2020 14:57:19 +0000  Run-3, Block-1, Trial-3, Q_cnt-178, Q_sen-Nur wenn mein Haar schmutzig ist, werde ich es bürsten., Q_cen-bürsten
Fr, 03 Jul 2020 14:57:20 +0000  QA_rec 1 3 1 4
Fr, 03 Jul 2020 14:57:40 +0000  QA_rec 0 3 1 4
Fr, 03 Jul 2020 14:57:40 +0000  Run-3, Block-1, Trial-4, Q_cnt-179, Q_sen-Ich hielt das Küken vorsichtig in beiden Händen., Q_cen-hielt
Fr, 03 Jul 2020 14:57:41 +0000  QA_rec 1 3 1 5
Fr, 03 Jul 2020 14:58:01 +0000  QA_rec 0 3 1 5
Fr, 03 Jul 2020 14:58:01 +0000  Run-3, Block-1, Trial-5, Q_cnt-180, Q_sen-Er kann zwanzig Zigarattes pro Tag rauchen, was sehr ungesund ist., Q_cen-rauchen
Fr, 03 Jul 2020 14:58:02 +0000  QA_rec 1 3 1 6
Fr, 03 Jul 2020 14:58:22 +0000  QA_rec 0 3 1 6
Fr, 03 Jul 2020 14:58:22 +0000  Run-3, Block-1, Trial-6, Q_cnt-181, Q_sen-Die Brille bekommst du beim Optiker, dann kannst du wieder perfekt sehen., Q_cen-sehen
Fr, 03 Jul 2020 14:58:23 +0000  QA_rec 1 3 1 7
Fr, 03 Jul 2020 14:58:44 +0000  QA_rec 0 3 1 7
Fr, 03 Jul 2020 14:58:44 +0000  Run-3, Block-1, Trial-7, Q_cnt-182, Q_sen-Die Polizei sammelte alle verfügbaren Informationen., Q_cen-sammelte
Fr, 03 Jul 2020 14:58:45 +0000  QA_rec 1 3 1 8
Fr, 03 Jul 2020 14:59:05 +0000  QA_rec 0 3 1 8
Fr, 03 Jul 2020 14:59:05 +0000  Run-3, Block-1, Trial-8, Q_cnt-183, Q_sen-Er probierte, die Tür mit dem falschen Schlüssel zu öffnen., Q_cen-öffnen
Fr, 03 Jul 2020 14:59:06 +0000  QA_rec 1 3 1 9
Fr, 03 Jul 2020 14:59:26 +0000  QA_rec 0 3 1 9
Fr, 03 Jul 2020 14:59:26 +0000  Run-3, Block-1, Trial-9, Q_cnt-184, Q_sen-Viele Zettel sind an der Wand gehängt., Q_cen-gehängt
Fr, 03 Jul 2020 14:59:27 +0000  QA_rec 1 3 1 10
Fr, 03 Jul 2020 14:59:47 +0000  QA_rec 0 3 1 10
Fr, 03 Jul 2020 14:59:47 +0000  Run-3, Block-1, Trial-10, Q_cnt-185, Q_sen-Ich kenne dieses Wort nicht, was bedeutet es also?, Q_cen-bedeutet
Fr, 03 Jul 2020 14:59:48 +0000  QA_rec 1 3 1 11
