run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,1,0,1,0,18,0,18,0,,,,,Listen to the question and speak out your answer!,276.81187295913696,None,276.7936809062958,278.79555797576904,Ich nahm meinen Stift und begann zu schreiben.,begann,278.17881977558136,280.77888894081116,281.19558465480804,None,293.3796788454056,294.3797161579132,294.7797420024872,295.77977204322815,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_018.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,19,0,19,0,,,,,Listen to the question and speak out your answer!,297.8637089729309,None,297.84473049640656,299.8466160297394,"Er lief so schnell, dass ich kaum mit ihm Schritt halten konnte.",lief,299.22995579242706,None,303.0967596769333,304.0968940258026,314.4307667016983,None,315.83081698417664,316.8309020996094,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_019.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,20,0,20,0,,,,,Listen to the question and speak out your answer!,318.91447401046753,None,318.8958395719528,320.89780497550964,Wir haben auf der Konferenz einige grundlegende Fragen zum Klimaschutz diskutiert.,diskutiert,320.28111374378204,325.34807300567627,325.7480286359787,None,335.482009768486,None,336.88195514678955,337.88200998306274,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_020.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,21,0,21,0,,,,,Listen to the question and speak out your answer!,339.93190598487854,None,339.91363978385925,341.915913105011,In Wien tanzt man gerne Walzer.,tanzt,341.3152948617935,None,343.7992697954178,None,356.5162316560745,357.5164301395416,357.9329659938812,None,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_021.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,22,0,22,0,,,,,Listen to the question and speak out your answer!,360.9668960571289,None,360.9481928348541,362.9667229652405,Man kann oft aus Fehlern lernen.,lernen,362.3500007390976,364.26679396629333,364.68341386318207,None,377.55064284801483,None,378.95093512535095,379.9506950378418,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_022.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,23,0,23,0,,,,,Listen to the question and speak out your answer!,382.0181300640106,None,381.9989775419235,384.00102496147156,"Ich muss mich bemühen, das Ziel des Projektes zu erreichen.",erreichen,383.3841928243637,387.00113797187805,387.41783583164215,388.43454098701477,398.5850888490677,399.60173201560974,400.00177812576294,None,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_023.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,24,0,24,0,,,,,Listen to the question and speak out your answer!,403.0519161224365,None,403.0334439277649,405.052029132843,"Er beschäftigt sich damit, diese kaputte Maschine zu reparieren.",reparieren,404.43530786037445,408.4189381599426,408.8021277189255,None,419.63609278202057,None,421.05289006233215,None,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_QA_run_03_block_001_trial_024.wav,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_000.wav,,427.1033489704132,None,427.08205246925354,429.1032819747925,"Ich habe den schrecklichen Verdacht, dass Hans das Geld gestohlen hat.",428.5031781196594,446.1375300884247,429.88659369945526,None,442.6873677968979,443.704106092453,444.10412406921387,446.1375300884247,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_001.wav,,449.15498900413513,None,449.1192110776901,451.1544530391693,Herr Becker fährt mit dem Zug nach Baden.,450.5544240474701,468.18897700309753,451.9378136396408,452.95454001426697,464.70515167713165,None,466.12194895744324,468.1553599834442,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_002.wav,,471.17294907569885,None,471.1370850801468,473.1722810268402,"Ich glaube, es geht um ein rotes Auto.",472.572252035141,490.2065360546112,473.95566070079803,None,486.7564216852188,None,488.17311811447144,490.2065360546112,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_003.wav,,493.1906931400299,None,493.1548820734024,495.190062046051,Das Jahr hat 52 Wochen.,494.59011793136597,512.2243461608887,495.9734967947006,None,508.774152636528,None,510.1909439563751,512.2243461608887,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_004.wav,,515.20858502388,None,515.1727050542831,517.207955121994,Jede Münze hat zwei Seiten.,516.6079180240631,534.2421600818634,517.9913128614426,None,530.7919956445694,None,532.2087271213531,534.2421600818634,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_005.wav,,537.2262971401215,None,537.1907380819321,539.2257781028748,Zu Weihnachten hat die Familie einen großen Weihnachtsbaum.,538.6257491111755,556.2600450515747,540.0091637372971,None,552.8098157644272,None,554.2266049385071,556.2600450515747,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_006.wav,,559.2440731525421,None,559.2084032297134,561.24365401268,"In Europa gibt es vier Jahrezeiten, am Zentralafrika nur eine.",560.6435649394989,578.2778260707855,562.0270367860794,None,574.8276528120041,None,576.2444310188293,578.2778260707855,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_007.wav,,581.2613320350647,None,581.2262021303177,583.2614390850067,Der Mars hat eine orangerote Farbe.,582.6614370346069,600.2956700325012,584.0447818040848,None,596.8454798460007,None,598.2623181343079,600.2956700325012,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_008.wav,,603.2792150974274,None,603.2440360784531,605.2792770862579,Halloween wurde schon von den Kelten gefeiert.,604.6792199611664,622.3134889602661,606.062913775444,None,618.8632608652115,None,620.2800531387329,622.3134889602661,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1502/rec_cali_de_post_trial_009.wav,,625.2970681190491,None,625.261980175972,627.2970790863037,Können Sie fünfzig Euro wechseln?,626.6969690322876,644.3313510417938,628.080357670784,None,640.8811236619949,None,642.2980151176453,644.3313510417938,,,,03,00,English,A2,True,False,False,False,False,False,False,False,True,False,True,True,No,3,No,1,8,No,2020_Jul_03_1502,nibs_stage_1,3.2.3,59.9869279737072,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.2989830970764,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
